"DR1TSELE.Code.or.Value","DR1TSELE.Value.Description","DR1TSELE.Count","DR1TSELE.Cumulative","DR1TSELE.Skip.to.Item"
"0 to 767.3","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
