"CIQDPA.Code.or.Value","CIQDPA.Value.Description","CIQDPA.Count","CIQDPA.Cumulative","CIQDPA.Skip.to.Item"
"1","Yes",9,9,"CIQDPD"
"2","No",61,70,""
"7","Refuse",0,70,""
"9","Don't know",0,70,""
".","Missing",858,928,""
