"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 546","Range of Values",2545,2545,NA
".","Missing",102,2647,NA
