"WBXP030.Code.or.Value","WBXP030.Value.Description","WBXP030.Count","WBXP030.Cumulative","WBXP030.Skip.to.Item"
"-64.0132 to 157.9994","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
