"OSQ090g.Code.or.Value","OSQ090g.Value.Description","OSQ090g.Count","OSQ090g.Cumulative","OSQ090g.Skip.to.Item"
"1","Yes",7,7,"OSQ120g"
"2","No",2,9,""
"7","Refused",0,9,"OSQ120g"
"9","Don't know",0,9,"OSQ120g"
".","Missing",5926,5935,""
