"DR1_330Z.Code.or.Value","DR1_330Z.Value.Description","DR1_330Z.Count","DR1_330Z.Cumulative","DR1_330Z.Skip.to.Item"
"0 to 7584","Range of Values",9349,9349,NA
".","Missing",601,9950,NA
