"DR1TS100.Code.or.Value","DR1TS100.Value.Description","DR1TS100.Count","DR1TS100.Cumulative","DR1TS100.Skip.to.Item"
"0 to 11.299","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
