"DXXPT32X.Code.or.Value","DXXPT32X.Value.Description","DXXPT32X.Count","DXXPT32X.Cumulative","DXXPT32X.Skip.to.Item"
"122.2 to 692.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
