"WTSCI26.Code.or.Value","WTSCI26.Value.Description","WTSCI26.Count","WTSCI26.Cumulative","WTSCI26.Skip.to.Item"
"0 to 467527.91622","Range of Values",727,727,NA
".","Missing",51,778,NA
