"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.02 to 23.4","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
