"DSQTSELE.Code.or.Value","DSQTSELE.Value.Description","DSQTSELE.Count","DSQTSELE.Cumulative","DSQTSELE.Skip.to.Item"
"0.5 to 1050","Range of Values",1551,1551,NA
".","Missing",8598,10149,NA
