"DS2AN.Code.or.Value","DS2AN.Value.Description","DS2AN.Count","DS2AN.Cumulative","DS2AN.Skip.to.Item"
"1","Yes",139,139,NA
"2","No",6879,7018,NA
"7","Refused",0,7018,NA
"9","Don't know",0,7018,NA
".","Missing",2526,9544,NA
