"CBQ510.Code.or.Value","CBQ510.Value.Description","CBQ510.Count","CBQ510.Cumulative","CBQ510.Skip.to.Item"
"1","Yes",671,671,NA
"2","No",3492,4163,NA
"7","Refused",2,4165,NA
"9","Don't know",3,4168,NA
".","Missing",1854,6022,NA
