"BPQ090B.Code.or.Value","BPQ090B.Value.Description","BPQ090B.Count","BPQ090B.Cumulative","BPQ090B.Skip.to.Item"
"1","Yes",686,686,NA
"2","No",646,1332,NA
"7","Refused",0,1332,NA
"9","Don't know",4,1336,NA
".","Missing",5298,6634,NA
