"DXXPT6Y.Code.or.Value","DXXPT6Y.Value.Description","DXXPT6Y.Count","DXXPT6Y.Cumulative","DXXPT6Y.Skip.to.Item"
"63.3 to 246.6","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
