"DXDTRTOT.Code.or.Value","DXDTRTOT.Value.Description","DXDTRTOT.Count","DXDTRTOT.Cumulative","DXDTRTOT.Skip.to.Item"
"6911.6 to 100254.5","Range of Values",5288,5288,NA
".","Missing",745,6033,NA
