"DR1ICOPP.Code.or.Value","DR1ICOPP.Value.Description","DR1ICOPP.Count","DR1ICOPP.Cumulative","DR1ICOPP.Skip.to.Item"
"0 to 32.357","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
