"ENXTR1G.Code.or.Value","ENXTR1G.Value.Description","ENXTR1G.Count","ENXTR1G.Cumulative","ENXTR1G.Skip.to.Item"
"1","Acceptable measurement",6394,6394,NA
"2","Could Not Obtain",372,6766,NA
"3","< 5 ppb",782,7548,NA
"4","> 300 ppb",0,7548,NA
".","Missing",647,8195,NA
