"CVDS2DI.Code.or.Value","CVDS2DI.Value.Description","CVDS2DI.Count","CVDS2DI.Cumulative","CVDS2DI.Skip.to.Item"
"38 to 159","Range of Values",2489,2489,NA
".","Missing",2174,4663,NA
