"DS1IZINC.Code.or.Value","DS1IZINC.Value.Description","DS1IZINC.Count","DS1IZINC.Cumulative","DS1IZINC.Skip.to.Item"
"0.00374 to 139.2","Range of Values",1863,1863,NA
".","Missing",4043,5906,NA
