"DRD350A.Code.or.Value","DRD350A.Value.Description","DRD350A.Count","DRD350A.Cumulative","DRD350A.Skip.to.Item"
"1","Yes",356,356,""
"2","No",3403,3759,"DRD350B"
".","Missing",6003,9762,""
