"ORXHPV.Code.or.Value","ORXHPV.Value.Description","ORXHPV.Count","ORXHPV.Cumulative","ORXHPV.Skip.to.Item"
"1","Positive",355,355,NA
"2","Negative",4055,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
