"LBXVBM.Code.or.Value","LBXVBM.Value.Description","LBXVBM.Count","LBXVBM.Cumulative","LBXVBM.Skip.to.Item"
"0.1563 to 47.4","Range of Values",354,354,NA
".","Missing",497,851,NA
