"AUXLR238.Code.or.Value","AUXLR238.Value.Description","AUXLR238.Count","AUXLR238.Cumulative","AUXLR238.Skip.to.Item"
"-21 to 76","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
