"AUXLR178.Code.or.Value","AUXLR178.Value.Description","AUXLR178.Count","AUXLR178.Cumulative","AUXLR178.Skip.to.Item"
"-1 to 52","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
