"RFXC037.Code.or.Value","RFXC037.Value.Description","RFXC037.Count","RFXC037.Cumulative","RFXC037.Skip.to.Item"
"-7.948 to 5.312","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
