"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.2 to 18.2","Range of Values",2517,2517,NA
".","Missing",77,2594,NA
