"LBXVIC.Code.or.Value","LBXVIC.Value.Description","LBXVIC.Count","LBXVIC.Cumulative","LBXVIC.Skip.to.Item"
"0.0212 to 14.6","Range of Values",6740,6740,NA
".","Missing",695,7435,NA
