"AUDTYR81.Code.or.Value","AUDTYR81.Value.Description","AUDTYR81.Count","AUDTYR81.Cumulative","AUDTYR81.Skip.to.Item"
"0 to 0.41","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
