"LBXSGL.Code.or.Value","LBXSGL.Value.Description","LBXSGL.Count","LBXSGL.Cumulative","LBXSGL.Skip.to.Item"
"33 to 559","Range of Values",6377,6377,NA
".","Missing",540,6917,NA
