"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",22874,22874,NA
"2","Monday",27822,50696,NA
"3","Tuesday",23772,74468,NA
"4","Wednesday",25411,99879,NA
"5","Thursday",10274,110153,NA
"6","Friday",8495,118648,NA
"7","Saturday",2693,121341,NA
".","Missing",0,121341,NA
