"LBXBHC.Code.or.Value","LBXBHC.Value.Description","LBXBHC.Count","LBXBHC.Cumulative","LBXBHC.Skip.to.Item"
"0.02 to 24.607","Range of Values",2291,2291,NA
".","Missing",256,2547,NA
