"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0 to 15.8","Range of Values",8378,8378,NA
".","Missing",1062,9440,NA
