"HUQ090.Code.or.Value","HUQ090.Value.Description","HUQ090.Count","HUQ090.Cumulative","HUQ090.Skip.to.Item"
"1","Yes",744,744,NA
"2","No",8796,9540,NA
"7","Refused",1,9541,NA
"9","Don't know",2,9543,NA
".","Missing",1496,11039,NA
