"URXNNN.Code.or.Value","URXNNN.Value.Description","URXNNN.Count","URXNNN.Cumulative","URXNNN.Skip.to.Item"
"0.002 to 4.13","Range of Values",7910,7910,NA
".","Missing",381,8291,NA
