"RIDRETH1.Code.or.Value","RIDRETH1.Value.Description","RIDRETH1.Count","RIDRETH1.Cumulative","RIDRETH1.Skip.to.Item"
"1","Mexican American",2519,2519,NA
"2","Other Hispanic",341,2860,NA
"3","Non-Hispanic White",4133,6993,NA
"4","Non-Hispanic Black",2663,9656,NA
"5","Other Race - Including Multi-Racial",466,10122,NA
".","Missing",0,10122,NA
