"RFXC010.Code.or.Value","RFXC010.Value.Description","RFXC010.Count","RFXC010.Cumulative","RFXC010.Skip.to.Item"
"-3.83 to 3.775","Range of Values",51075,51075,NA
".","Missing",1,51076,NA
