"DUQ200.Code.or.Value","DUQ200.Value.Description","DUQ200.Count","DUQ200.Cumulative","DUQ200.Skip.to.Item"
"1","Yes",1738,1738,""
"2","No",1461,3199,"DUQ240"
"7","Refused",0,3199,"DUQ240"
"9","Don't know",1,3200,"DUQ240"
".","Missing",1372,4572,""
