"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 5.63","Range of Values",3204,3204,NA
".","Missing",285,3489,NA
