"CIQD072.Code.or.Value","CIQD072.Value.Description","CIQD072.Count","CIQD072.Cumulative","CIQD072.Skip.to.Item"
"1","Yes",7,7,NA
"2","No",0,7,NA
"7","Refuse",0,7,NA
"9","Don't know",0,7,NA
".","Missing",843,850,NA
