"CIQP24.Code.or.Value","CIQP24.Value.Description","CIQP24.Count","CIQP24.Cumulative","CIQP24.Skip.to.Item"
"4 to 34","Range of Values",40,40,NA
"77","Refused",0,40,NA
"99","Don't know",0,40,NA
".","Missing",738,778,NA
