"LBDACRLC.Code.or.Value","LBDACRLC.Value.Description","LBDACRLC.Count","LBDACRLC.Cumulative","LBDACRLC.Skip.to.Item"
"0","detectable result",2348,2348,NA
"1","below detectable limit",0,2348,NA
".","Missing",407,2755,NA
