"URDUTLLC.Code.or.Value","URDUTLLC.Value.Description","URDUTLLC.Count","URDUTLLC.Cumulative","URDUTLLC.Skip.to.Item"
"0","At or above the detection limit",2255,2255,NA
"1","Below lower detection limit",17,2272,NA
".","Missing",77,2349,NA
