"URXUSN.Code.or.Value","URXUSN.Value.Description","URXUSN.Count","URXUSN.Cumulative","URXUSN.Skip.to.Item"
"0.156 to 55.01","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
