"DRD350BQ.Code.or.Value","DRD350BQ.Value.Description","DRD350BQ.Count","DRD350BQ.Cumulative","DRD350BQ.Skip.to.Item"
"1 to 30","Range of Values",722,722,NA
".","Missing",8822,9544,NA
