"DR2ICRYP.Code.or.Value","DR2ICRYP.Value.Description","DR2ICRYP.Count","DR2ICRYP.Cumulative","DR2ICRYP.Skip.to.Item"
"0 to 3529","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
