"AUDTYL31.Code.or.Value","AUDTYL31.Value.Description","AUDTYL31.Count","AUDTYL31.Cumulative","AUDTYL31.Skip.to.Item"
"0 to 1.44","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
