"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"1531.3308619 to 499271.52935","Range of Values",112101,112101,NA
".","Missing",0,112101,NA
