"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"2 to 72","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
