"TYXA113.Code.or.Value","TYXA113.Value.Description","TYXA113.Count","TYXA113.Cumulative","TYXA113.Skip.to.Item"
"0.09 to 8.89","Range of Values",8430,8430,NA
".","Missing",39,8469,NA
