"DRQ370QQ.Code.or.Value","DRQ370QQ.Value.Description","DRQ370QQ.Count","DRQ370QQ.Cumulative","DRQ370QQ.Skip.to.Item"
"1 to 4","Range of Values",79,79,NA
".","Missing",9203,9282,NA
