"AUQ138.Code.or.Value","AUQ138.Value.Description","AUQ138.Count","AUQ138.Cumulative","AUQ138.Skip.to.Item"
"1","Yes",131,131,NA
"2","No",3661,3792,NA
"7","Refused",0,3792,NA
"9","Don't know",23,3815,NA
".","Missing",0,3815,NA
