"DS1IMFAT.Code.or.Value","DS1IMFAT.Value.Description","DS1IMFAT.Count","DS1IMFAT.Cumulative","DS1IMFAT.Skip.to.Item"
"0.17 to 6","Range of Values",49,49,NA
".","Missing",6019,6068,NA
