"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",127479,127479,NA
"2","Spanish",16988,144467,NA
"3","English and Spanish",2032,146499,NA
"4","Other",441,146940,NA
".","Missing",0,146940,NA
