"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"30 to 45","Range of Values",3,3,NA
"666","No response",0,3,NA
"888","Could not obtain",0,3,NA
".","Missing",1207,1210,NA
