"RFXC167.Code.or.Value","RFXC167.Value.Description","RFXC167.Count","RFXC167.Cumulative","RFXC167.Skip.to.Item"
"-0.371 to 0.812","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
