"DR2TVB12.Code.or.Value","DR2TVB12.Value.Description","DR2TVB12.Count","DR2TVB12.Cumulative","DR2TVB12.Skip.to.Item"
"0 to 75.33","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
