"FSD071.Code.or.Value","FSD071.Value.Description","FSD071.Count","FSD071.Cumulative","FSD071.Skip.to.Item"
"1","Yes",496,496,NA
"2","No",2235,2731,NA
"6","Screened out",2375,5106,NA
"7","Refused",5,5111,NA
"9","Don't know",2,5113,NA
".","Missing",5009,10122,NA
