"URXTRP1.Code.or.Value","URXTRP1.Value.Description","URXTRP1.Count","URXTRP1.Cumulative","URXTRP1.Skip.to.Item"
"0.56 to 8.32","Range of Values",2449,2449,NA
".","Missing",156,2605,NA
