"CBQ595.Code.or.Value","CBQ595.Value.Description","CBQ595.Count","CBQ595.Cumulative","CBQ595.Skip.to.Item"
"1","Yes",3019,3019,"CBQ605"
"2","No",3142,6161,""
"7","Refused",1,6162,""
"9","Don't know",12,6174,""
".","Missing",3582,9756,""
