"DR1IVB12.Code.or.Value","DR1IVB12.Value.Description","DR1IVB12.Count","DR1IVB12.Cumulative","DR1IVB12.Skip.to.Item"
"0 to 103.87","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
