"DR1CCMNM.Code.or.Value","DR1CCMNM.Value.Description","DR1CCMNM.Count","DR1CCMNM.Cumulative","DR1CCMNM.Skip.to.Item"
"0 to 12","Range of Values",145703,145703,NA
".","Missing",0,145703,NA
