"DS2IPROT.Code.or.Value","DS2IPROT.Value.Description","DS2IPROT.Count","DS2IPROT.Cumulative","DS2IPROT.Skip.to.Item"
"0.001 to 80","Range of Values",198,198,NA
".","Missing",5400,5598,NA
