"DR1TSFAT.Code.or.Value","DR1TSFAT.Value.Description","DR1TSFAT.Count","DR1TSFAT.Cumulative","DR1TSFAT.Skip.to.Item"
"0 to 195.852","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
